source_field,records_sampled,field_present_count,non_null_count,presence_pct,non_null_pct,sample_value_1,sample_value_2,sample_value_3
actualInterestCollectedAmount,5000,5000,5000,100.0,100.0,637.85,0,36.86
actualOtherCollectedAmount,5000,5000,5000,100.0,100.0,0,25,182.4
actualPrincipalCollectedAmount,5000,5000,5000,100.0,100.0,42.7,0,303.58
assetAddedIndicator,5000,5000,5000,100.0,100.0,true,,
assetNumber,5000,5000,5000,100.0,100.0,210000029931554301,210000029935654301,210000129911554301
assetSubjectDemandIndicator,5000,5000,5000,100.0,100.0,false,,
assetTypeNumber,5000,5000,5000,100.0,100.0,EART 2025 1,,
chargedoffPrincipalAmount,5000,5000,5000,100.0,100.0,0,1160.46,2626.59
coObligorIndicator,5000,5000,5000,100.0,100.0,true,false,
currentDelinquencyStatus,5000,5000,5000,100.0,100.0,0,7,4
gracePeriodNumber,5000,5000,5000,100.0,100.0,1,2,0
interestCalculationTypeCode,5000,5000,5000,100.0,100.0,1,,
interestPaidThroughDate,5000,4046,4046,80.92,80.92,12-17-2024,03-08-2025,12-02-2024
loanMaturityDate,5000,5000,5000,100.0,100.0,10/2030,06/2031,04/2026
modificationTypeCode,5000,86,95,1.72,1.9,3,4,98
nextInterestRatePercentage,5000,5000,5000,100.0,100.0,0.2999,0.1752,0.2056
nextReportingPeriodPaymentAmountDue,5000,5000,5000,100.0,100.0,680.55,665.77,340.44
obligorCreditScore,5000,5000,5000,100.0,100.0,579,620,595
obligorCreditScoreType,5000,5000,5000,100.0,100.0,Consumer Credit Bureau,,
obligorEmploymentVerificationCode,5000,5000,5000,100.0,100.0,3,2,
obligorGeographicLocation,5000,5000,5000,100.0,100.0,GA,IL,VA
obligorIncomeVerificationLevelCode,5000,5000,5000,100.0,100.0,3,2,
originalFirstPaymentDate,5000,5000,5000,100.0,100.0,11/2024,01/2025,12/2019
originalInterestOnlyTermNumber,5000,5000,5000,100.0,100.0,0,,
originalInterestRatePercentage,5000,5000,5000,100.0,100.0,0.2999,0.1752,0.2056
originalInterestRateTypeCode,5000,5000,5000,100.0,100.0,1,,
originalLoanAmount,5000,5000,5000,100.0,100.0,22347,30658.13,13904.93
originalLoanTerm,5000,5000,5000,100.0,100.0,73,80,74
originationDate,5000,5000,5000,100.0,100.0,10/2024,11/2024,10/2019
originatorName,5000,5000,5000,100.0,100.0,Exeter Finance,,
otherAssessedUncollectedServicerFeeAmount,5000,5000,5000,100.0,100.0,0,18,25.88
otherPrincipalAdjustmentAmount,5000,5000,5000,100.0,100.0,0,-437.67,-311.31
otherServicerFeeRetainedByServicer,5000,5000,5000,100.0,100.0,0,25,182.4
paymentExtendedNumber,5000,5000,5000,100.0,100.0,0,2,1
paymentToIncomePercentage,5000,5000,5000,100.0,100.0,0.0648,0.0865,0.0714
paymentTypeCode,5000,5000,5000,100.0,100.0,2,,
primaryLoanServicerName,5000,5000,5000,100.0,100.0,Exeter Finance,,
remainingTermToMaturityNumber,5000,5000,5000,100.0,100.0,70,78,16
reportingPeriodActualEndBalanceAmount,5000,5000,5000,100.0,100.0,22304.3,30658.13,1747.12
reportingPeriodBeginningDate,5000,5000,5000,100.0,100.0,12-01-2024,,
reportingPeriodBeginningLoanBalanceAmount,5000,5000,5000,100.0,100.0,22347,30658.13,2050.7
reportingPeriodEndingDate,5000,5000,5000,100.0,100.0,12-31-2024,,
reportingPeriodInterestRatePercentage,5000,5000,5000,100.0,100.0,0.2999,0,0.2056
reportingPeriodModificationIndicator,5000,5000,5000,100.0,100.0,false,true,
reportingPeriodScheduledPaymentAmount,5000,5000,5000,100.0,100.0,555.438715,0,340.44
repossessedIndicator,5000,5000,5000,100.0,100.0,false,,
scheduledInterestAmount,5000,5000,5000,100.0,100.0,555.438715,0,57.213838
scheduledPrincipalAmount,5000,5000,5000,100.0,100.0,0,283.226162,127.17275
servicingAdvanceMethodCode,5000,5000,5000,100.0,100.0,1,,
servicingFeePercentage,5000,5000,5000,100.0,100.0,0.03,,
subvented,5000,5000,5000,100.0,100.0,0,,
totalActualAmountPaid,5000,5000,5000,100.0,100.0,680.55,0,340.44
underwritingIndicator,5000,5000,5000,100.0,100.0,true,,
vehicleManufacturerName,5000,5000,5000,100.0,100.0,Ford,Nissan,Toyota
vehicleModelName,5000,5000,5000,100.0,100.0,EcoSport,Altima,Versa
vehicleModelYear,5000,5000,5000,100.0,100.0,2021,2023,2018
vehicleNewUsedCode,5000,5000,5000,100.0,100.0,2,1,
vehicleTypeCode,5000,5000,5000,100.0,100.0,3,1,2
vehicleValueAmount,5000,5000,5000,100.0,100.0,17325,21675,10175
vehicleValueSourceCode,5000,5000,5000,100.0,100.0,98,1,3
