vintage_year,vintage_quarter,vintage_label,loan_count,current_balance,pool_balance_share_pct,weighted_avg_credit_score,weighted_avg_pti_pct,delinquency_30_plus_pct,delinquency_60_plus_pct,delinquency_90_plus_pct
2018,Q4,2018 Q4,6,34573.96,0.0,591.7,10.06,37.1131,37.1131,0.0
2019,Q1,2019 Q1,8,48205.49,0.0,407.5,9.39,12.3543,0.0,0.0
2019,Q2,2019 Q2,37,240596.46,0.02,497.2,10.77,12.6809,7.1072,7.1072
2019,Q3,2019 Q3,91,579857.74,0.05,466.9,10.29,13.3747,2.6019,1.1188
2019,Q4,2019 Q4,1254,8008620.79,0.75,493.1,10.99,5.953,0.4622,0.2379
2020,Q1,2020 Q1,671,4396491.78,0.41,482.1,11.32,7.7822,0.7422,0.5146
2020,Q2,2020 Q2,2,12597.83,0.0,358.4,14.5,53.7263,0.0,0.0
2020,Q3,2020 Q3,3,21781.94,0.0,422.8,11.4,0.0,0.0,0.0
2020,Q4,2020 Q4,3,25825.16,0.0,427.8,14.16,0.0,0.0,0.0
2021,Q1,2021 Q1,5,28697.42,0.0,554.7,12.15,24.3969,0.0,0.0
2021,Q2,2021 Q2,8,60702.62,0.01,551.8,11.56,26.7194,0.0,0.0
2021,Q3,2021 Q3,2,22265.45,0.0,554.4,12.55,0.0,0.0,0.0
2021,Q4,2021 Q4,20,222723.59,0.02,535.4,11.58,3.1154,0.0,0.0
2022,Q1,2022 Q1,12,171006.06,0.02,620.5,14.01,9.4387,0.0,0.0
2022,Q2,2022 Q2,14,192412.87,0.02,585.5,12.94,6.0535,0.0,0.0
2022,Q3,2022 Q3,21,264313.92,0.02,606.3,11.46,0.0,0.0,0.0
2022,Q4,2022 Q4,21,283203.96,0.03,588.6,12.39,4.7598,0.0,0.0
2023,Q1,2023 Q1,15,235887.92,0.02,586.4,12.15,9.4578,0.0,0.0
2023,Q2,2023 Q2,33,519280.36,0.05,594.1,11.85,22.3491,9.0331,6.308
2023,Q3,2023 Q3,60,1096035.88,0.1,589.6,12.73,6.7844,0.0,0.0
2023,Q4,2023 Q4,75,1347256.46,0.13,586.4,12.71,1.9264,0.0,0.0
2024,Q1,2024 Q1,79,1463536.13,0.14,591.8,11.22,6.5591,3.9409,1.2527
2024,Q2,2024 Q2,245,5037033.72,0.47,579.2,12.8,15.8237,7.7347,4.5922
2024,Q3,2024 Q3,3912,87591642.45,8.19,586.0,11.87,4.4515,0.7833,0.2435
2024,Q4,2024 Q4,32901,757270463.95,70.84,600.8,10.87,0.6552,0.028,0.0
2025,Q1,2025 Q1,8698,199749156.02,18.69,608.6,10.06,0.0,0.0,0.0
