source_field,records_sampled,field_present_count,non_null_count,presence_pct,non_null_pct,sample_value_1,sample_value_2,sample_value_3
actualInterestCollectedAmount,5000,5000,5000,100.0,100.0,637.85,0,36.86
actualOtherCollectedAmount,5000,5000,5000,100.0,100.0,0,25,182.4
actualPrincipalCollectedAmount,5000,5000,5000,100.0,100.0,42.7,0,303.58
chargedoffPrincipalAmount,5000,5000,5000,100.0,100.0,0,1160.46,2626.59
nextReportingPeriodPaymentAmountDue,5000,5000,5000,100.0,100.0,680.55,665.77,340.44
originalFirstPaymentDate,5000,5000,5000,100.0,100.0,11/2024,01/2025,12/2019
originalInterestOnlyTermNumber,5000,5000,5000,100.0,100.0,0,,
originalInterestRatePercentage,5000,5000,5000,100.0,100.0,0.2999,0.1752,0.2056
originalInterestRateTypeCode,5000,5000,5000,100.0,100.0,1,,
originalLoanAmount,5000,5000,5000,100.0,100.0,22347,30658.13,13904.93
originalLoanTerm,5000,5000,5000,100.0,100.0,73,80,74
otherAssessedUncollectedServicerFeeAmount,5000,5000,5000,100.0,100.0,0,18,25.88
otherPrincipalAdjustmentAmount,5000,5000,5000,100.0,100.0,0,-437.67,-311.31
reportingPeriodActualEndBalanceAmount,5000,5000,5000,100.0,100.0,22304.3,30658.13,1747.12
reportingPeriodBeginningDate,5000,5000,5000,100.0,100.0,12-01-2024,,
reportingPeriodBeginningLoanBalanceAmount,5000,5000,5000,100.0,100.0,22347,30658.13,2050.7
reportingPeriodEndingDate,5000,5000,5000,100.0,100.0,12-31-2024,,
reportingPeriodScheduledPaymentAmount,5000,5000,5000,100.0,100.0,555.438715,0,340.44
scheduledInterestAmount,5000,5000,5000,100.0,100.0,555.438715,0,57.213838
scheduledPrincipalAmount,5000,5000,5000,100.0,100.0,0,283.226162,127.17275
totalActualAmountPaid,5000,5000,5000,100.0,100.0,680.55,0,340.44
vehicleValueAmount,5000,5000,5000,100.0,100.0,17325,21675,10175
