credit_score_band,pti_band,loan_count,cohort_balance,pool_share_pct,balance_30_plus,delinquency_30_plus_pct,delinquency_60_plus_pct,delinquency_90_plus_pct
550-599,<10%,7663,158025205.1,14.78,1590862.51,1.0067,0.0954,0.0449
550-599,10-14.99%,5477,124083846.96,11.61,1565806.84,1.2619,0.2034,0.1218
500-549,<10%,3797,72162410.6,6.75,1158898.84,1.606,0.2582,0.1875
600-649,10-14.99%,5134,127622130.15,11.94,962959.31,0.7545,0.093,0.018
600-649,<10%,6976,154411393.8,14.45,819870.4,0.531,0.0342,0.0042
550-599,15-19.99%,2251,51023707.03,4.77,777516.77,1.5238,0.215,0.0757
500-549,10-14.99%,2218,46151521.89,4.32,751851.34,1.6291,0.1826,0.0
600-649,15-19.99%,2158,52799584.52,4.94,547477.81,1.0369,0.1954,0.0499
<500,<10%,1328,21687496.83,2.03,507985.49,2.3423,0.3655,0.1518
<500,10-14.99%,637,10691868.44,1.0,353675.21,3.3079,0.2378,0.2378
650-699,<10%,3060,69589964.26,6.51,347623.75,0.4995,0.0263,0.0263
500-549,15-19.99%,838,17779614.38,1.66,339615.26,1.9101,0.1334,0.0614
550-599,20-24.99%,478,11060264.12,1.03,285474.75,2.5811,0.5879,0.1959
650-699,10-14.99%,2141,57045657.44,5.34,254969.83,0.447,0.1584,0.0
700+,<10%,1209,26274171.36,2.46,188840.57,0.7187,0.1577,0.0
